timestamp,exchange,symbol,bids_count,asks_count,best_bid,best_ask,spread,total_bid_volume,total_ask_volume,status
2025-09-08T23:32:57.166359,BingX,BTCUSDT,10,10,"[112741.4, 34.2053]","[112744.4, 0.0033]",3.0,35.6446,0.11080000000000001,success
2025-09-08T23:32:57.204251,OKX,ETHUSDT,10,10,"[4380.29, 28.053128]","[4380.3, 1.679844]",0.010000000000218279,46.227939000000006,5.098624999999999,success
2025-09-08T23:32:57.222799,BingX,ETHUSDT,10,10,"[4378.43, 87.1]","[4379.07, 25.64]",0.6399999999994179,202.68999999999997,188.78000000000003,success
2025-09-08T23:32:57.248654,OKX,BTCUSDT,10,10,"[112789.2, 0.56059944]","[112789.3, 0.05933485]",0.10000000000582077,1.7182882300000002,0.30422422,success
2025-09-08T23:32:57.303908,Bitunix,BTCUSDT,5,5,"[112722.6, 1.8601]","[112722.7, 2.3404]",0.09999999999126885,7.406199999999999,8.8937,success
2025-09-08T23:32:57.319887,Gate,BTCUSDT,10,10,"[112781.9, 0.838432]","[112782.0, 0.319197]",0.10000000000582077,1.9463069999999996,0.424614,success
2025-09-08T23:32:57.394164,Bitunix,ETHUSDT,5,5,"[4377.54, 13.43]","[4377.55, 13.172]",0.010000000000218279,52.742,48.794000000000004,success
2025-09-08T23:32:57.507715,Gate,ETHUSDT,10,10,"[4379.78, 11.0328]","[4379.79, 3.365]",0.010000000000218279,14.2552,5.1225000000000005,success
2025-09-08T23:32:57.578754,Bybit,BTCUSDT,10,10,"[112737.5, 9.042]","[112737.6, 3.243]",0.10000000000582077,9.182999999999998,4.980999999999999,success
2025-09-08T23:32:57.633982,Binance,BTCUSDT,10,10,"[112722.6, 23.318]","[112722.7, 2.103]",0.09999999999126885,23.680999999999997,2.413999999999999,success
2025-09-08T23:32:57.662788,Bybit,ETHUSDT,10,10,"[4378.22, 6.19]","[4378.23, 49.39]",0.009999999999308784,11.019999999999998,119.03,success
2025-09-08T23:33:02.781787,Binance,ETHUSDT,10,10,"[4379.99, 162.476]","[4380.0, 277.769]",0.010000000000218279,163.28799999999995,288.90599999999995,success
